time,A:gene off,A:gene on,A:mRNA,A:protein
0,0,2,3,10
0,0,2,3,10
0.0111381,0,2,3,11
0.108094,0,2,4,11
0.3338,0,2,5,11
0.00184019,0,2,4,11
0.138993,0,2,5,11
0.0722239,1,1,5,11
0.204776,1,1,5,12
0.0918953,1,1,6,12
0.170824,1,1,7,12
0.0561888,1,1,6,12
0.206296,1,1,6,13
0.429327,1,1,5,13
0.0781307,1,1,6,13
0.262786,1,1,7,13
0.197792,2,0,7,13
0.800345,2,0,7,14
0.161894,2,0,6,14
0.127308,2,0,6,15
0.026484,2,0,6,16
0.333591,2,0,6,15
0.252189,2,0,6,16
0.20563,2,0,5,16
0.339483,2,0,5,17
0.602028,2,0,5,18
0.04414,2,0,4,18
1.31029,2,0,4,19
0.0926882,2,0,4,20
0.20494,2,0,4,21
0.169689,2,0,4,22
1.67585,2,0,3,22
0.0970195,2,0,3,23
2.78887,2,0,3,24
0.0132008,2,0,3,23
0.0524215,2,0,3,24
0.0438631,2,0,3,25
0.0960103,2,0,3,26
0.479632,2,0,3,27
0.303819,2,0,3,28
0.561431,2,0,2,28
1.83525,2,0,2,29
0.388385,2,0,2,30
0.884899,2,0,1,30
0.692211,2,0,0,30
20.8725,1,1,0,30
0.356814,1,1,1,30
0.572716,1,1,0,30
0.00803652,1,1,1,30
0.352847,1,1,2,30
0.222071,1,1,2,31
0.592056,1,1,3,31
0.911947,1,1,4,31
0.0703195,1,1,4,32
0.0959587,2,0,4,32
0.920548,2,0,3,32
0.307449,2,0,3,33
0.490477,2,0,3,34
0.0780737,2,0,3,35
0.639963,2,0,3,36
0.154786,2,0,3,37
0.152009,2,0,3,38
0.00142414,1,1,3,38
0.0140733,1,1,4,38
0.408,1,1,3,38
0.377509,2,0,3,38
0.512295,2,0,2,38
2.18058,2,0,1,38
3.77992,2,0,1,39
1.64046,2,0,1,40
0.16712,2,0,1,41
0.0442029,2,0,1,42
1.21951,2,0,1,43
0.222109,2,0,1,44
2.69055,2,0,1,45
0.0417342,2,0,0,45
1.34253,2,0,0,44
9.50617,1,1,0,44
0.657537,1,1,1,44
0.355699,1,1,2,44
0.0803622,1,1,1,44
0.0740817,1,1,0,44
0.221031,2,0,0,44
9.53769,1,1,0,44
0.00423596,1,1,1,44
1.65354,1,1,2,44
0.231059,2,0,2,44
0.696325,2,0,2,45
0.131521,2,0,1,45
0.854086,2,0,1,46
2.04226,2,0,1,45
0.359287,2,0,0,45
0.120616,2,0,0,44
3.9637,2,0,0,43
2.82105,2,0,0,42
1.96736,1,1,0,42
0.14186,1,1,1,42
1.04979,1,1,2,42
0.0123901,1,1,3,42
0.188373,1,1,4,42
0.0556676,1,1,5,42
0.0934569,2,0,5,42
